Nombre,Cambio
Pack 12 un. Cerveza Stella Artois Lager 5.2° 354 cc,mantuvo
Pack 24 un. Cerveza Stella Artois Lager 5.2° 330 cc,mantuvo
Pack 18 un. Cerveza Corona Lager 4.6° 330 cc,mantuvo
Pack 6 un. Cerveza Stones Maracuya Fuit Beer 2.5° 350 cc,mantuvo
Pack 6 un. Cerveza Budweiser Lager 5.0° 473 cc,mantuvo
Pack 6 un. Cerveza Cusqueña Golden Lager 5.0° 473 cc,mantuvo
Pack 6 un. Cerveza Stones Limon Fruit Beer 2.5° 350 cc,mantuvo
Pack 6 un. Cerveza Escudo Silver Lager 5.0° 470 cc,mantuvo
Pack 6 un. Cerveza Royal Guard Premium Lager 5.0° 350 cc,mantuvo
Pack 6 un. Cerveza Cristal Radler Sin alcohol 350 cc,mantuvo
Pack 10 un. Cerveza Heineken Lager 5.0° 350 cc,mantuvo
Pack 12 un. Cerveza Budweiser Lager 5.0° 355 cc,mantuvo
Pack 6 un. Cerveza Becker Lager 4.5° 473 cc,mantuvo
Pack 6 un. Cerveza Miller Lager 4.7° 355 cc,mantuvo
Pack 6 un. Cerveza Corona Lager 4.5° 330 cc,mantuvo
Pack 4 un. Cerveza Austral Calafate Ale 5.0° 330 cc,mantuvo
Pack 6 un. Cerveza Cristal Lager Sin alcohol 350 cc,mantuvo
Pack 12 un. Cerveza Miller Lager 4.7° 330 cc,mantuvo
Pack 6 un. Cerveza Sol Lager 4.5° 330 cc,mantuvo
Pack 6 un. Cerveza Royal Guard Premium Lager Sin alcohol 350 cc,mantuvo
Pack 4 un. Cerveza Dolbek Maqui Pale Ale 4.8° 330 cc,mantuvo
Pack 4 un. Cerveza Kunstmann Miel 4.8° 330 cc,mantuvo
Pack 6 un. Cerveza Budweiser Lager 5.0° 354 cc,mantuvo
Pack 6 un. Cerveza Cristal Lager 4.6° 470 cc,mantuvo
Pack 6 un. Cerveza Cristal Lager 4.6° 350 cc,mantuvo
Pack 6 un. Cerveza Stones Sensation Fruit Beer 6.0° 269 cc,mantuvo
Pack 6 un. Cerveza Becker B-Mix Lager 4.2° 354 cc,mantuvo
Pack 6 un. Cerveza Patagonia Hoppy Lager 4.8° 330 cc,mantuvo
Pack 6 un. Cerveza Stones Tropical Fruit Beer 6.0° 269 cc,mantuvo
Pack 6 un. Cerveza Patagonia Red Lager 5.0° 330 cc,mantuvo
Pack 6 un. Cerveza Corona Lager Sin alcohol 330 cc,mantuvo
Pack 6 un. Cerveza Kunstmann Torobayo Pale Ale 5.2° 330 cc,subió
