Nombre,Precio,Enlace
Pack 12 un. Cerveza Stella Artois Lager 5.2° 354 cc,$7.690,https://www.santaisabel.cl/pack-c-stella-artois-4-8-lata-12x354cc-1976130-pak/p
Pack 24 un. Cerveza Stella Artois Lager 5.2° 330 cc,$13.856,https://www.santaisabel.cl/caja-c-stella-artois-4-8-bot-24x330cc-1976135-pak/p
Pack 18 un. Cerveza Corona Lager 4.6° 330 cc,$12.990,https://www.santaisabel.cl/caja-cerv-corona-bot-18x330cc-4-5-g-1976139-pak/p
Pack 6 un. Cerveza Stones Maracuya Fuit Beer 2.5° 350 cc,$5.890,https://www.santaisabel.cl/pack-cerveza-lemon-stones-maracuya-6-unid-350-cc-c-u/p
Pack 6 un. Cerveza Budweiser Lager 5.0° 473 cc,$3.990,https://www.santaisabel.cl/pack-4-un-cerveza-5-0-lata-500-cc-c-u-1730208-pak/p
Pack 6 un. Cerveza Cusqueña Golden Lager 5.0° 473 cc,$3.990,https://www.santaisabel.cl/pack-cerveza-cusquena-4-8-6-latas-473-cc-c-u/p
Pack 6 un. Cerveza Stones Limon Fruit Beer 2.5° 350 cc,$5.890,https://www.santaisabel.cl/pack-6-un-cerveza-limon-lata-350-cc-c-u-263481-pak/p
Pack 6 un. Cerveza Escudo Silver Lager 5.0° 470 cc,$3.690,https://www.santaisabel.cl/pack-6-un-cerveza-silver-lata-470-cc/p
Pack 6 un. Cerveza Royal Guard Premium Lager 5.0° 350 cc,$7.090,https://www.santaisabel.cl/pack-cerveza-royal-guard-6-unid-350-cc-c-u/p
Pack 6 un. Cerveza Cristal Radler Sin alcohol 350 cc,$2.990,https://www.santaisabel.cl/pack-6-unid-cerveza-cero-alcohol-cristal-lata-355-cc-c-u/p
Pack 10 un. Cerveza Heineken Lager 5.0° 350 cc,$10.550,https://www.santaisabel.cl/pack-10-un-cerveza-350-cc-c-u-443258/p
Pack 12 un. Cerveza Budweiser Lager 5.0° 355 cc,$7.690,https://www.santaisabel.cl/pack-cer-budweiser-5-lata-12x354cc-1976134-pak/p
Pack 6 un. Cerveza Becker Lager 4.5° 473 cc,$4.550,https://www.santaisabel.cl/cerv-becker-4-5g-lata-473cc-2/p
Pack 6 un. Cerveza Miller Lager 4.7° 355 cc,$8.590,https://www.santaisabel.cl/pack-cerveza-miller-6-unid-355-cc-c-u-2/p
Pack 6 un. Cerveza Corona Lager 4.5° 330 cc,$5.480,https://www.santaisabel.cl/pack-6-un-cerveza-rubia-botella-330-cc-1850069-pak/p
Pack 4 un. Cerveza Austral Calafate Ale 5.0° 330 cc,$5.790,https://www.santaisabel.cl/pack-cerveza-austral-calafate-4-unid-330-cc-c-u/p
